entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2012-05-18,2012-06-17,2012-06-05,101.77703857421875,25.100000381469727,0.3213,medium,0.2,93.0,96.0,109.0,112.0,0.79,221.0,50.0,True,take_profit,,3.0,3.0,synthetic,30
2012-12-27,2013-01-25,2012-12-28,113.01665496826172,19.469999313354492,0.4557,medium,0.2,106.0,109.0,119.0,122.0,2.66,34.0,-365.0,False,stop_loss,,3.0,3.0,thetadata,29
2013-02-26,2013-03-28,2013-02-27,119.7708511352539,16.8700008392334,0.3178,medium,0.2,112.0,116.0,125.0,129.0,3.66,34.0,-62.0,False,stop_loss,,4.0,4.0,thetadata,30
2013-04-17,2013-05-18,2013-04-18,124.38529968261719,16.510000228881836,0.3392,medium,0.2,116.0,120.0,130.0,134.0,3.7,30.0,-60.0,False,stop_loss,,4.0,4.0,thetadata,31
2013-06-17,2013-07-20,2013-06-18,131.86712646484375,16.799999237060547,0.4816,medium,0.2,123.0,127.0,138.0,142.0,3.78,22.0,-47.0,False,stop_loss,,4.0,4.0,thetadata,33
2013-09-09,2013-10-11,2013-09-27,135.13653564453125,15.630000114440918,0.3792,medium,0.2,127.0,131.0,141.0,145.0,3.64,36.0,-69.0,False,stop_loss,,4.0,4.0,thetadata,32
2013-09-30,2013-11-01,2013-10-01,136.10311889648438,16.600000381469727,0.4641,medium,0.2,127.0,131.0,142.0,146.0,3.6,40.0,-66.0,False,stop_loss,,4.0,4.0,thetadata,32
2013-10-07,2013-11-08,2013-10-11,135.63330078125,19.40999984741211,0.7102,very_high,0.3,128.0,132.0,140.0,144.0,3.69,31.0,-59.0,False,stop_loss,,4.0,4.0,thetadata,32
2013-10-14,2013-11-16,2013-10-15,138.47669982910156,16.06999969482422,0.4177,medium,0.2,130.0,134.0,145.0,149.0,3.63,37.0,-66.0,False,stop_loss,,4.0,4.0,thetadata,33
2013-12-17,2014-01-18,2013-12-18,144.72238159179688,16.209999084472656,0.4299,medium,0.2,136.0,140.0,152.0,156.0,3.71,29.0,-62.0,False,stop_loss,,4.0,4.0,thetadata,32
2014-01-02,2014-01-31,2014-01-03,148.98605346679688,14.229999542236328,0.3188,medium,0.2,142.0,145.0,155.0,159.0,3.65,35.0,-63.0,False,stop_loss,,3.0,4.0,thetadata,29
2014-01-24,2014-02-22,2014-01-27,145.7036895751953,18.139999389648438,0.7443,very_high,0.3,139.0,143.0,151.0,155.0,3.54,46.0,-168.0,False,stop_loss,,4.0,4.0,thetadata,29
2014-02-20,2014-03-22,2014-02-21,149.94717407226562,14.789999961853027,0.3442,medium,0.2,141.0,145.0,156.0,160.0,3.75,25.0,-50.0,False,stop_loss,,4.0,4.0,thetadata,30
2014-03-13,2014-04-11,2014-03-18,150.8267059326172,16.219999313354492,0.4852,medium,0.2,141.0,146.0,158.0,163.0,4.7,30.0,-62.0,False,stop_loss,,5.0,5.0,thetadata,29
2014-04-14,2014-05-17,2014-04-15,149.6599578857422,16.110000610351562,0.4448,medium,0.2,141.0,145.0,156.0,160.0,3.7,30.0,-125.0,False,stop_loss,,4.0,4.0,thetadata,33
2014-07-17,2014-08-16,2014-07-18,160.87408447265625,14.539999961853027,0.3795,medium,0.2,151.0,156.0,167.0,172.0,4.63,37.0,-59.0,False,stop_loss,,5.0,5.0,thetadata,30
2014-09-25,2014-10-24,2014-10-16,162.14637756347656,15.640000343322754,0.4784,medium,0.2,152.5,157.5,169.0,174.0,4.07,93.0,-137.0,False,stop_loss,put,5.0,5.0,thetadata,29
2014-10-02,2014-10-31,2014-10-14,160.52769470214844,16.15999984741211,0.5252,high,0.25,150.0,155.0,166.0,171.0,4.46,54.0,-73.0,False,stop_loss,,5.0,5.0,thetadata,29
2014-10-09,2014-11-07,2014-10-14,159.1732940673828,18.760000228881836,0.759,very_high,0.3,150.0,155.0,165.0,170.0,4.45,55.0,-70.0,False,stop_loss,,5.0,5.0,thetadata,29
2014-10-16,2014-11-14,2014-10-17,153.83010864257812,25.200000762939453,0.9953,very_high,0.3,145.0,150.0,161.0,166.0,3.99,101.0,-233.0,False,stop_loss,,5.0,5.0,thetadata,29
2014-10-23,2014-11-22,2014-10-24,160.98191833496094,16.530000686645508,0.4154,medium,0.2,150.0,155.0,169.0,174.0,4.57,43.0,-72.0,False,stop_loss,,5.0,5.0,thetadata,30
2014-12-12,2015-01-09,2014-12-18,165.9039306640625,21.079999923706055,0.7197,very_high,0.3,155.0,160.0,170.0,175.0,3.71,129.0,-450.0,False,stop_loss,call,5.0,5.0,thetadata,28
2014-12-19,2015-01-17,2014-12-22,171.49478149414062,16.489999771118164,0.4127,medium,0.2,160.0,165.0,180.0,185.0,3.97,103.0,-151.0,False,stop_loss,,5.0,5.0,thetadata,29
2014-12-29,2015-01-30,2014-12-30,173.32162475585938,15.0600004196167,0.3171,medium,0.2,165.0,170.0,180.0,185.0,4.6,40.0,-63.0,False,stop_loss,,5.0,5.0,thetadata,32
2015-01-07,2015-02-06,2015-01-08,167.9987335205078,19.309999465942383,0.6013,high,0.25,160.0,165.0,175.0,180.0,4.58,42.0,-66.0,False,stop_loss,,5.0,5.0,thetadata,30
2015-01-16,2015-02-13,2015-02-06,167.43414306640625,20.950000762939453,0.711,very_high,0.3,160.0,165.0,175.0,179.0,3.59,141.0,-362.0,False,stop_loss,,5.0,4.0,thetadata,28
2015-01-26,2015-02-27,2015-01-27,170.60621643066406,15.520000457763672,0.3478,medium,0.2,160.0,165.0,180.0,185.0,4.59,41.0,-59.0,False,stop_loss,,5.0,5.0,thetadata,32
2015-02-02,2015-03-06,2015-02-03,167.6749267578125,19.43000030517578,0.6094,high,0.25,155.0,160.0,175.0,180.0,4.57,43.0,-67.0,False,stop_loss,,5.0,5.0,thetadata,32
2015-02-09,2015-03-13,2015-02-10,169.92526245117188,18.549999237060547,0.5505,high,0.25,160.0,165.0,175.0,180.0,4.56,44.0,-76.0,False,stop_loss,,5.0,5.0,thetadata,32
2015-02-17,2015-03-20,2015-02-18,174.4758758544922,15.800000190734863,0.3666,medium,0.2,164.0,169.0,182.0,187.0,4.65,35.0,-56.0,False,stop_loss,,5.0,5.0,thetadata,31
2015-03-16,2015-04-17,2015-03-17,173.20535278320312,15.609999656677246,0.3538,medium,0.2,163.0,168.0,181.0,186.0,4.71,29.0,-57.0,False,stop_loss,,5.0,5.0,thetadata,32
2015-08-24,2015-09-25,2015-08-25,158.83255004882812,40.7400016784668,1.0,very_high,0.3,146.0,151.0,171.0,176.0,2.46,254.0,-387.0,False,stop_loss,,5.0,5.0,thetadata,32
2015-08-31,2015-09-30,2015-09-01,165.68040466308594,28.43000030517578,0.5733,high,0.25,153.0,158.0,176.0,181.0,4.29,71.0,-63.0,False,stop_loss,,5.0,5.0,thetadata,30
2015-09-09,2015-10-09,2015-10-09,163.26649475097656,26.229999542236328,0.4971,medium,0.2,149.0,155.0,175.0,180.0,4.48,152.0,448.0,True,expiration,,6.0,5.0,thetadata,30
2015-09-16,2015-10-16,2015-09-17,167.78421020507812,21.350000381469727,0.3279,medium,0.2,156.0,161.0,178.0,183.0,4.41,59.0,-288.0,False,stop_loss,,5.0,5.0,thetadata,30
2015-09-23,2015-10-23,2015-10-01,163.1126708984375,22.1299991607666,0.3549,medium,0.2,150.0,155.0,173.0,178.0,4.45,55.0,-52.0,False,stop_loss,,5.0,5.0,thetadata,30
2015-10-02,2015-10-30,2015-10-05,164.29222106933594,20.940000534057617,0.3137,medium,0.2,150.0,155.0,174.0,179.0,4.27,73.0,-84.0,False,stop_loss,,5.0,5.0,thetadata,28
2015-12-14,2016-01-15,2015-12-15,170.94813537597656,22.729999542236328,0.3744,medium,0.2,158.0,163.0,182.0,187.0,4.42,58.0,-100.0,False,stop_loss,,5.0,5.0,thetadata,32
2016-01-06,2016-02-05,2016-01-22,168.5076141357422,20.59000015258789,0.3001,medium,0.2,156.0,161.0,178.0,183.0,0.67,433.0,-403.0,False,stop_loss,,5.0,5.0,thetadata,30
2016-01-13,2016-02-12,2016-02-01,160.04067993164062,25.219999313354492,0.4609,medium,0.2,150.0,151.0,171.0,176.0,4.0,100.0,-130.0,False,stop_loss,,1.0,5.0,thetadata,30
2016-01-21,2016-02-19,2016-01-22,158.22694396972656,26.690000534057617,0.512,high,0.25,146.0,151.0,168.0,173.0,4.27,73.0,-80.0,False,stop_loss,,5.0,5.0,thetadata,29
2016-01-28,2016-02-26,2016-02-26,160.27801513671875,22.420000076293945,0.3637,medium,0.2,148.0,155.0,170.0,175.0,4.38,262.0,438.0,True,expiration,,7.0,5.0,thetadata,29
2016-02-04,2016-03-04,2016-02-16,162.3883056640625,21.84000015258789,0.3435,medium,0.2,150.0,155.0,173.0,178.0,4.28,72.0,-67.0,False,stop_loss,,5.0,5.0,thetadata,29
2016-02-12,2016-03-11,2016-02-16,158.17608642578125,25.399999618530273,0.4672,medium,0.2,145.0,150.0,169.0,174.0,4.1,90.0,-102.0,False,stop_loss,,5.0,5.0,thetadata,28
2016-06-22,2016-07-22,2016-06-29,178.204345703125,21.170000076293945,0.3203,medium,0.2,166.0,171.0,189.0,194.0,4.34,66.0,-66.0,False,stop_loss,,5.0,5.0,thetadata,30
2017-04-12,2017-05-12,2017-04-13,203.490234375,15.770000457763672,0.3419,medium,0.2,191.0,197.0,212.0,218.0,4.8,120.0,-109.0,False,stop_loss,,6.0,6.0,thetadata,30
2017-05-18,2017-06-16,2017-05-19,205.87269592285156,14.65999984741211,0.3058,medium,0.2,193.0,199.0,214.0,220.0,5.69,31.0,-49.0,False,stop_loss,,6.0,6.0,thetadata,29
2017-11-15,2017-12-15,2017-11-16,225.17518615722656,13.130000114440918,0.5783,high,0.25,214.0,221.0,232.0,239.0,6.62,38.0,-52.0,False,stop_loss,,7.0,7.0,thetadata,30
2017-11-30,2017-12-29,2017-12-01,232.7002716064453,11.279999732971191,0.3101,medium,0.2,220.0,227.0,240.0,247.0,5.09,191.0,-226.0,False,stop_loss,,7.0,7.0,thetadata,29
2018-01-17,2018-02-16,2018-01-18,246.7752685546875,11.90999984741211,0.4014,medium,0.2,234.0,241.0,255.0,262.0,6.63,37.0,-43.0,False,stop_loss,,7.0,7.0,thetadata,30
2018-01-24,2018-02-23,2018-02-15,249.92604064941406,11.470000267028809,0.3377,medium,0.2,237.0,244.0,258.0,265.0,7.05,-5.0,2.0,True,stop_loss,put,7.0,7.0,thetadata,30
2018-02-02,2018-03-05,2018-02-21,243.1038055419922,17.309999465942383,1.0,very_high,0.3,231.0,238.0,251.0,258.0,4.42,258.0,-315.0,False,stop_loss,,7.0,7.0,thetadata,31
2018-02-09,2018-03-12,2018-03-12,230.79202270507812,29.059999465942383,0.7069,very_high,0.3,215.0,223.0,243.0,250.0,7.85,15.0,503.67,True,expiration,call,8.0,7.0,thetadata,31
2018-02-16,2018-03-19,2018-02-21,241.03854370117188,19.459999084472656,0.3662,medium,0.2,225.0,230.0,254.0,261.0,6.22,78.0,-119.0,False,stop_loss,,5.0,7.0,thetadata,31
2018-03-05,2018-04-04,2018-04-04,240.22662353515625,18.729999542236328,0.3403,medium,0.2,224.0,231.0,252.0,259.0,5.85,115.0,585.0,True,expiration,,7.0,7.0,thetadata,30
2018-03-20,2018-04-18,2018-04-12,240.0900115966797,18.200000762939453,0.3215,medium,0.2,225.0,230.0,252.0,259.0,4.96,204.0,-188.0,False,stop_loss,,5.0,7.0,thetadata,29
2018-03-27,2018-04-25,2018-04-12,230.91876220703125,22.5,0.4741,medium,0.2,215.0,220.0,245.0,252.0,6.43,57.0,-58.0,False,stop_loss,,5.0,7.0,thetadata,29
2018-04-04,2018-05-04,2018-05-01,233.54164123535156,20.059999465942383,0.3875,medium,0.2,215.0,224.0,246.0,253.0,7.17,183.0,-320.0,False,stop_loss,,9.0,7.0,thetadata,30
2018-04-11,2018-05-11,2018-05-01,233.7188720703125,20.239999771118164,0.3939,medium,0.2,215.0,224.0,247.0,254.0,5.65,335.0,-297.0,False,stop_loss,,9.0,7.0,thetadata,30
2018-04-25,2018-05-25,2018-04-26,233.60365295410156,17.84000015258789,0.3087,medium,0.2,220.0,225.0,245.0,252.0,6.11,89.0,-67.0,False,stop_loss,,5.0,7.0,thetadata,30
2018-10-15,2018-11-14,2018-11-06,245.34442138671875,21.299999237060547,0.4315,medium,0.2,228.0,235.0,260.0,267.0,5.96,104.0,-80.0,False,stop_loss,,7.0,7.0,thetadata,30
2018-10-23,2018-11-21,2018-11-21,244.63812255859375,20.709999084472656,0.4106,medium,0.2,225.0,235.0,259.0,266.0,0.16,984.0,16.0,True,expiration,,10.0,7.0,thetadata,29
2018-10-30,2018-11-28,2018-10-31,239.4164581298828,23.350000381469727,0.5043,high,0.25,225.0,230.0,253.0,260.0,5.41,159.0,-175.0,False,stop_loss,,5.0,7.0,thetadata,29
2018-11-06,2018-12-05,2018-11-07,245.98826599121094,19.90999984741211,0.382,medium,0.2,230.0,235.0,259.0,266.0,5.69,131.0,-153.0,False,stop_loss,,5.0,7.0,thetadata,29
2018-11-13,2018-12-12,2018-12-12,243.2522430419922,20.020000457763672,0.3859,medium,0.2,225.0,235.0,257.0,264.0,1.63,837.0,163.0,True,expiration,,10.0,7.0,thetadata,29
2018-11-20,2018-12-19,2018-11-27,236.1530303955078,22.479999542236328,0.4732,medium,0.2,220.0,225.0,251.0,258.0,5.74,126.0,-96.0,False,stop_loss,,5.0,7.0,thetadata,29
2018-11-28,2018-12-28,2018-12-18,245.50540161132812,18.489999771118164,0.3316,medium,0.2,229.0,236.0,258.0,265.0,5.47,153.0,364.0,True,take_profit,,7.0,7.0,thetadata,30
2018-12-06,2019-01-04,2018-12-21,241.267333984375,21.190000534057617,0.4274,medium,0.2,224.0,231.0,255.0,262.0,6.32,68.0,463.0,True,take_profit,,7.0,7.0,thetadata,29
2018-12-13,2019-01-11,2019-01-02,237.2706756591797,20.649999618530273,0.4082,medium,0.2,220.0,227.0,251.0,258.0,5.37,163.0,274.0,True,take_profit,,7.0,7.0,thetadata,29
2018-12-20,2019-01-18,2019-01-04,220.99778747558594,28.3799991607666,0.6826,high,0.25,204.0,211.0,235.0,242.0,5.18,182.0,-145.0,False,stop_loss,,7.0,7.0,thetadata,29
2018-12-28,2019-01-28,2019-01-02,222.8099365234375,28.34000015258789,0.6812,high,0.25,205.0,212.0,237.0,244.0,5.03,197.0,-222.0,False,stop_loss,,7.0,7.0,thetadata,31
2019-01-07,2019-02-06,2019-02-06,228.7725372314453,21.399999618530273,0.4335,medium,0.2,210.0,220.0,242.0,249.0,4.79,521.0,150.57,True,expiration,call,10.0,7.0,thetadata,30
2019-01-14,2019-02-13,2019-01-30,231.488525390625,19.06999969482422,0.3281,medium,0.2,215.0,220.0,244.0,251.0,14.48,-748.0,735.0,True,take_profit,,5.0,7.0,thetadata,30
2019-01-22,2019-02-20,2019-01-30,236.39889526367188,20.799999237060547,0.3759,medium,0.2,220.0,225.0,250.0,257.0,5.41,159.0,-137.0,False,stop_loss,,5.0,7.0,thetadata,29
2019-01-29,2019-02-27,2019-02-27,236.8935546875,19.1299991607666,0.3128,medium,0.2,220.0,230.0,250.0,257.0,5.74,426.0,464.6,True,expiration,call,10.0,7.0,thetadata,29
2019-05-09,2019-06-07,2019-06-07,258.93853759765625,19.100000381469727,0.3271,medium,0.2,240.0,250.0,273.0,281.0,6.46,354.0,646.0,True,expiration,,10.0,8.0,thetadata,29
2019-05-31,2019-07-01,2019-06-04,248.65008544921875,18.709999084472656,0.3117,medium,0.2,235.0,240.0,261.0,268.0,5.58,142.0,-114.0,False,stop_loss,,5.0,7.0,thetadata,31
2019-08-05,2019-09-04,2019-09-04,257.6202087402344,24.59000015258789,0.5448,high,0.25,240.0,250.0,272.0,280.0,6.02,398.0,602.0,True,expiration,,10.0,8.0,thetadata,30
2019-08-12,2019-09-11,2019-09-11,261.477783203125,21.09000015258789,0.3876,medium,0.2,240.0,250.0,277.0,285.0,6.16,384.0,616.0,True,expiration,,10.0,8.0,thetadata,30
2019-08-26,2019-09-25,2019-09-05,261.4142761230469,19.31999969482422,0.3152,medium,0.2,245.0,250.0,276.0,284.0,6.22,178.0,-157.0,False,stop_loss,,5.0,8.0,thetadata,30
2019-09-03,2019-10-02,2019-10-02,263.9013366699219,19.65999984741211,0.3291,medium,0.2,245.0,255.0,278.0,286.0,12.44,-244.0,1244.0,True,expiration,,10.0,8.0,thetadata,29
