entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,put_delta,call_delta,call_delta_offset,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2020-02-24,2020-03-25,2020-03-12,295.4538879394531,25.030000686645508,1.0,very_high,0.3,0.3,0.3,0.0,277.0,286.0,309.0,318.0,2.59,641.0,-664.0,False,stop_loss,put,9.0,9.0,thetadata,30
2020-03-16,2020-04-15,2020-04-15,219.78976440429688,82.69000244140625,1.0,very_high,0.3,0.3,0.3,0.0,190.0,200.0,258.0,265.0,4.11,589.0,411.0,True,expiration,,10.0,7.0,thetadata,30
2020-03-23,2020-04-22,2020-03-26,205.50457763671875,61.59000015258789,0.7034,very_high,0.3,0.3,0.3,0.0,185.0,190.0,230.0,236.0,3.11,289.0,-298.0,False,stop_loss,call,5.0,6.0,thetadata,30
2020-04-06,2020-05-06,2020-04-29,244.1352081298828,45.2400016784668,0.4736,medium,0.2,0.2,0.2,0.0,215.0,220.0,275.0,282.0,2.45,455.0,-413.0,False,stop_loss,,5.0,7.0,thetadata,30
2020-04-14,2020-05-13,2020-05-04,261.5839538574219,37.7599983215332,0.3685,medium,0.2,0.2,0.2,0.0,235.0,240.0,290.0,298.0,3.65,435.0,189.0,True,take_profit,,5.0,8.0,thetadata,29
2020-04-21,2020-05-20,2020-05-20,251.67514038085938,45.40999984741211,0.476,medium,0.2,0.2,0.2,0.0,220.0,230.0,283.0,291.0,4.07,593.0,407.0,True,expiration,,10.0,8.0,thetadata,29
2020-04-28,2020-05-27,2020-05-27,263.3721923828125,33.56999969482422,0.3096,medium,0.2,0.2,0.2,0.0,235.0,245.0,288.0,296.0,4.58,542.0,458.0,True,expiration,,10.0,8.0,thetadata,29
2020-05-05,2020-06-03,2020-06-03,263.796142578125,33.61000061035156,0.3102,medium,0.2,0.2,0.2,0.0,235.0,245.0,289.0,297.0,4.34,566.0,434.0,True,expiration,,10.0,8.0,thetadata,29
2020-05-12,2020-06-10,2020-05-29,264.23858642578125,33.040000915527344,0.3022,medium,0.2,0.2,0.2,0.0,240.0,245.0,289.0,297.0,3.95,405.0,-319.0,False,stop_loss,,5.0,8.0,thetadata,29
2020-06-17,2020-07-17,2020-06-29,287.2732238769531,33.470001220703125,0.3082,medium,0.2,0.2,0.2,0.0,258.0,267.0,314.0,323.0,4.6,440.0,232.0,True,take_profit,,9.0,9.0,thetadata,30
2020-06-24,2020-07-24,2020-07-17,281.529052734375,33.84000015258789,0.3134,medium,0.2,0.2,0.2,0.0,255.0,260.0,308.0,316.0,4.23,377.0,-288.0,False,stop_loss,,5.0,8.0,thetadata,30
2020-09-03,2020-10-02,2020-09-22,319.7649230957031,33.599998474121094,0.31,medium,0.2,0.2,0.2,0.0,287.0,297.0,350.0,360.0,4.06,594.0,376.0,True,take_profit,,10.0,10.0,thetadata,29
2020-10-30,2020-11-30,2020-11-16,303.5235595703125,38.02000045776367,0.3722,medium,0.2,0.2,0.2,0.0,270.0,280.0,337.0,346.0,4.15,585.0,-462.0,False,stop_loss,call,10.0,9.0,thetadata,31
2021-09-30,2021-10-29,2021-10-15,404.5107421875,23.139999389648438,0.3201,medium,0.2,0.2,0.2,0.0,375.0,386.0,430.0,442.0,6.2,580.0,-455.0,False,stop_loss,,11.0,12.0,thetadata,29
2021-11-26,2021-12-27,2021-12-27,432.6286926269531,28.6200008392334,0.6131,high,0.25,0.25,0.25,0.0,400.0,412.0,460.0,473.0,7.54,546.0,754.0,True,expiration,,12.0,13.0,thetadata,31
2022-01-18,2022-02-16,2022-02-11,431.802734375,22.790000915527344,0.3505,medium,0.2,0.2,0.2,0.0,399.0,412.0,459.0,472.0,1.44,1156.0,107.0,True,take_profit,,13.0,13.0,thetadata,29
2022-02-01,2022-03-02,2022-02-14,428.4542236328125,21.959999084472656,0.41,medium,0.2,0.2,0.2,0.0,395.0,408.0,455.0,468.0,6.11,689.0,354.0,True,take_profit,,13.0,13.0,thetadata,29
2022-02-08,2022-03-09,2022-02-18,426.55291748046875,21.440000534057617,0.3794,medium,0.2,0.2,0.2,0.0,395.0,408.0,452.0,465.0,6.39,661.0,341.0,True,take_profit,,13.0,13.0,thetadata,29
2022-02-15,2022-03-16,2022-03-07,421.9747009277344,25.700000762939453,0.6307,high,0.25,0.25,0.25,0.0,391.0,404.0,447.0,460.0,5.9,710.0,328.0,True,take_profit,,13.0,13.0,thetadata,29
2022-03-09,2022-04-08,2022-03-22,404.2954406738281,32.45000076293945,0.8134,very_high,0.3,0.3,0.3,0.0,377.0,389.0,428.0,440.0,4.68,732.0,-575.0,False,stop_loss,,12.0,12.0,thetadata,30
2022-03-16,2022-04-14,2022-03-29,412.0614013671875,26.670000076293945,0.5438,high,0.25,0.25,0.25,0.0,382.0,394.0,438.0,450.0,6.02,598.0,-520.0,False,stop_loss,,12.0,12.0,thetadata,29
2022-03-23,2022-04-22,2022-04-13,421.1031799316406,23.56999969482422,0.3993,medium,0.2,0.2,0.2,0.0,387.0,400.0,449.0,462.0,6.63,637.0,475.0,True,take_profit,,13.0,13.0,thetadata,30
2022-04-06,2022-05-06,2022-04-27,423.6840515136719,22.100000381469727,0.3307,medium,0.2,0.2,0.2,0.0,391.0,404.0,450.0,463.0,4.39,861.0,240.0,True,take_profit,,13.0,13.0,thetadata,30
2022-04-13,2022-05-13,2022-04-25,420.6382141113281,21.81999969482422,0.3176,medium,0.2,0.2,0.2,0.0,388.0,401.0,447.0,460.0,6.45,655.0,375.0,True,take_profit,,13.0,13.0,thetadata,30
2022-04-21,2022-05-20,2022-05-03,415.6567687988281,22.68000030517578,0.3577,medium,0.2,0.2,0.2,0.0,384.0,396.0,442.0,454.0,5.71,629.0,324.0,True,take_profit,,12.0,12.0,thetadata,29
2022-05-05,2022-06-03,2022-05-23,392.64691162109375,31.200000762939453,0.7551,very_high,0.3,0.3,0.3,0.0,365.0,377.0,414.0,426.0,5.29,671.0,292.0,True,take_profit,,12.0,12.0,thetadata,29
2022-05-19,2022-06-17,2022-06-13,369.5422668457031,29.350000381469727,0.6688,high,0.25,0.25,0.25,0.0,340.0,352.0,394.0,405.0,5.6,640.0,411.0,True,take_profit,,12.0,11.0,thetadata,29
2022-06-03,2022-07-01,2022-06-23,389.544189453125,24.790000915527344,0.4562,medium,0.2,0.2,0.2,0.0,358.0,370.0,417.0,429.0,4.79,721.0,242.0,True,take_profit,,12.0,12.0,thetadata,28
2022-06-10,2022-07-11,2022-06-30,369.8648681640625,27.75,0.5942,high,0.25,0.25,0.25,0.0,342.0,353.0,393.0,404.0,3.34,766.0,213.0,True,take_profit,,11.0,11.0,thetadata,31
2022-06-17,2022-07-18,2022-07-07,348.6487731933594,31.1299991607666,0.7519,very_high,0.3,0.3,0.3,0.0,325.0,335.0,368.0,378.0,5.35,465.0,-367.0,False,stop_loss,call,10.0,10.0,thetadata,31
2022-06-27,2022-07-27,2022-07-27,370.3094787597656,26.950000762939453,0.5569,high,0.25,0.25,0.25,0.0,343.0,354.0,393.0,404.0,1.2,980.0,120.0,True,expiration,,11.0,11.0,thetadata,30
2022-07-12,2022-08-10,2022-07-28,362.91455078125,27.290000915527344,0.5728,high,0.25,0.25,0.25,0.0,335.0,346.0,386.0,397.0,5.28,572.0,-446.0,False,stop_loss,call,11.0,11.0,thetadata,29
2022-07-19,2022-08-17,2022-08-10,373.8163146972656,24.5,0.4426,medium,0.2,0.2,0.2,0.0,345.0,355.0,400.0,411.0,4.37,663.0,-607.0,False,stop_loss,call,10.0,11.0,thetadata,29
2022-07-26,2022-08-24,2022-08-10,372.5013122558594,24.690000534057617,0.4515,medium,0.2,0.2,0.2,0.0,345.0,354.0,399.0,410.0,3.62,738.0,-667.0,False,stop_loss,call,9.0,11.0,thetadata,29
2022-08-02,2022-08-31,2022-08-26,388.8635559082031,23.93000030517578,0.416,medium,0.2,0.2,0.2,0.0,357.0,369.0,415.0,427.0,3.37,863.0,274.0,True,take_profit,,12.0,12.0,thetadata,29
2022-08-09,2022-09-07,2022-08-26,391.998779296875,21.770000457763672,0.3153,medium,0.2,0.2,0.2,0.0,362.0,374.0,416.0,428.0,5.47,653.0,366.0,True,take_profit,,12.0,12.0,thetadata,29
2022-08-23,2022-09-21,2022-09-16,392.9517517089844,24.110000610351562,0.4244,medium,0.2,0.2,0.2,0.0,361.0,373.0,419.0,431.0,4.77,723.0,396.0,True,take_profit,,12.0,12.0,thetadata,29
2022-08-30,2022-09-28,2022-09-16,379.47698974609375,26.209999084472656,0.5224,high,0.25,0.25,0.25,0.0,352.0,363.0,402.0,413.0,4.73,627.0,298.0,True,take_profit,,11.0,11.0,thetadata,29
2022-09-07,2022-10-07,2022-10-04,379.0671691894531,24.639999389648438,0.4492,medium,0.2,0.2,0.2,0.0,349.0,360.0,406.0,417.0,1.9,910.0,159.0,True,take_profit,,11.0,11.0,thetadata,30
2022-09-14,2022-10-14,2022-10-13,376.0367431640625,26.15999984741211,0.5201,high,0.25,0.25,0.25,0.0,349.0,360.0,398.0,409.0,1.95,905.0,107.0,True,take_profit,,11.0,11.0,thetadata,30
2022-09-21,2022-10-21,2022-10-07,361.11370849609375,27.989999771118164,0.6054,high,0.25,0.25,0.25,0.0,333.0,344.0,384.0,395.0,5.2,580.0,303.0,True,take_profit,,11.0,11.0,thetadata,30
2022-09-28,2022-10-28,2022-10-20,354.5495300292969,30.18000030517578,0.7076,very_high,0.3,0.3,0.3,0.0,330.0,341.0,374.0,385.0,5.85,515.0,352.0,True,take_profit,,11.0,11.0,thetadata,30
2022-10-12,2022-11-11,2022-10-28,341.1820373535156,33.56999969482422,0.8657,very_high,0.3,0.3,0.3,0.0,320.0,328.0,363.0,373.0,5.04,496.0,-406.0,False,stop_loss,call,8.0,10.0,thetadata,30
2022-10-19,2022-11-18,2022-11-10,352.60711669921875,30.760000228881836,0.7346,very_high,0.3,0.3,0.3,0.0,328.0,339.0,372.0,383.0,3.04,796.0,-682.0,False,stop_loss,call,11.0,11.0,thetadata,30
2022-11-02,2022-12-02,2022-11-22,358.7023620605469,25.860000610351562,0.504,high,0.25,0.25,0.25,0.0,332.0,343.0,380.0,391.0,3.22,778.0,-687.0,False,stop_loss,call,11.0,11.0,thetadata,30
2022-11-09,2022-12-09,2022-11-25,357.9942932128906,26.09000015258789,0.4861,medium,0.2,0.2,0.2,0.0,325.0,338.0,383.0,394.0,4.28,872.0,-945.0,False,stop_loss,call,13.0,11.0,thetadata,30
2022-11-16,2022-12-16,2022-12-07,378.394775390625,24.110000610351562,0.3783,medium,0.2,0.2,0.2,0.0,348.0,359.0,404.0,415.0,4.42,658.0,243.0,True,take_profit,,11.0,11.0,thetadata,30
2022-12-15,2023-01-13,2022-12-27,372.8258056640625,22.829999923706055,0.3139,medium,0.2,0.2,0.2,0.0,344.0,355.0,396.0,407.0,4.33,667.0,227.0,True,take_profit,,11.0,11.0,thetadata,29
2023-03-15,2023-04-14,2023-04-13,374.20147705078125,26.139999389648438,0.4899,medium,0.2,0.2,0.2,0.0,345.0,354.0,401.0,412.0,3.49,751.0,-716.0,False,stop_loss,,9.0,11.0,thetadata,30
2023-10-18,2023-11-17,2023-11-08,418.1360168457031,19.219999313354492,0.3567,medium,0.2,0.2,0.2,0.0,389.0,402.0,441.0,454.0,4.86,814.0,302.0,True,take_profit,,13.0,13.0,thetadata,30
2023-10-25,2023-11-24,2023-11-14,405.8313293457031,20.190000534057617,0.4712,medium,0.2,0.2,0.2,0.0,376.0,388.0,428.0,440.0,5.27,673.0,-638.0,False,stop_loss,call,12.0,12.0,thetadata,30
2024-04-04,2024-05-03,2024-04-18,502.2480163574219,16.350000381469727,0.444,medium,0.2,0.2,0.2,0.0,470.0,485.0,526.0,540.0,3.45,1155.0,178.0,True,take_profit,,15.0,14.0,thetadata,29
2024-04-18,2024-05-17,2024-05-15,488.9837951660156,18.0,0.6151,high,0.25,0.25,0.25,0.0,460.0,475.0,509.0,524.0,5.27,973.0,-963.0,False,stop_loss,call,15.0,15.0,thetadata,29
2024-04-25,2024-05-24,2024-05-15,492.8700866699219,15.369999885559082,0.3423,medium,0.2,0.2,0.2,0.0,462.0,477.0,514.0,529.0,4.5,1050.0,-799.0,False,stop_loss,call,15.0,15.0,thetadata,29
2024-07-30,2024-08-29,2024-08-29,532.2794189453125,17.690000534057617,0.5919,high,0.25,0.25,0.25,0.0,502.0,518.0,553.0,569.0,5.84,1016.0,584.0,True,expiration,,16.0,16.0,thetadata,30
2024-09-04,2024-10-04,2024-10-03,541.0689697265625,21.31999969482422,0.3542,medium,0.2,0.2,0.2,0.0,500.0,520.0,573.0,589.0,2.69,1731.0,196.0,True,take_profit,,20.0,16.0,thetadata,30
2024-10-09,2024-11-08,2024-11-07,568.5277099609375,20.860000610351562,0.337,medium,0.2,0.2,0.2,0.0,525.0,544.0,602.0,620.0,0.29,1871.0,18.0,True,take_profit,,19.0,18.0,thetadata,30
2024-10-30,2024-11-29,2024-11-15,571.35498046875,20.350000381469727,0.3179,medium,0.2,0.2,0.2,0.0,530.0,547.0,603.0,620.0,3.0,1400.0,232.0,True,take_profit,,17.0,17.0,thetadata,30
2024-12-19,2025-01-17,2025-01-07,577.35400390625,24.09000015258789,0.4579,medium,0.2,0.2,0.2,0.0,531.0,548.0,616.0,633.0,0.95,1605.0,76.0,True,take_profit,,17.0,17.0,thetadata,29
2025-02-27,2025-03-28,2025-03-19,578.2593994140625,21.1299991607666,0.3471,medium,0.2,0.2,0.2,0.0,536.0,553.0,612.0,630.0,10.47,753.0,852.0,True,take_profit,,17.0,18.0,thetadata,29
2025-03-13,2025-04-11,2025-04-11,545.0197143554688,24.65999984741211,0.4792,medium,0.2,0.2,0.2,0.0,501.0,517.0,583.0,599.0,1.91,1409.0,191.0,True,expiration,,16.0,16.0,thetadata,29
2025-04-17,2025-05-16,2025-05-12,521.8651733398438,29.649999618530273,0.4396,medium,0.2,0.2,0.2,0.0,473.0,489.0,565.0,581.0,3.04,1296.0,-1020.0,False,stop_loss,call,16.0,16.0,thetadata,29
2025-04-25,2025-05-23,2025-05-09,545.8860473632812,24.84000015258789,0.3207,medium,0.2,0.2,0.2,0.0,500.0,518.0,584.0,600.0,3.44,1456.0,186.0,True,take_profit,,18.0,16.0,thetadata,28
2025-10-16,2025-11-14,2025-10-20,658.6936645507812,25.309999465942383,0.317,medium,0.2,0.2,0.2,0.0,605.0,625.0,705.0,725.0,2.55,1745.0,134.0,True,take_profit,,20.0,20.0,thetadata,29
2025-11-20,2025-12-19,2025-12-08,650.6075439453125,26.420000076293945,0.345,medium,0.2,0.2,0.2,0.0,595.0,615.0,699.0,719.0,2.78,1722.0,161.0,True,take_profit,,20.0,20.0,thetadata,29
